final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
văn nghệ,Domain Knowledge,2,2,0,2,ngành gia dụng|văn nghệ
si,Domain Knowledge,2,1,2,0,SI
nvr,Tool & Platform,2,1,2,0,NVR
autocad 2d,Tool & Platform,2,2,2,0,Autocad 2D|Autocad 3D
vt cloud,Infrastructure & DevOps,2,2,2,0,VT cloud|VNPT Cloud
lte,Domain Knowledge,2,1,1,1,LTE
arista,Infrastructure & DevOps,2,1,2,0,Arista
build automation,Infrastructure & DevOps,2,2,1,1,build automation|building automation
hệ thống điện,Domain Knowledge,2,2,2,0,hệ thống điện của máy tự động|hệ thống điện
business process design,Engineering Concepts & Methodologies,2,2,2,0,Business process management|Business Process Design
quản lý p&l,Soft Skill,2,2,1,1,quản lý P&L|quản lý P&L sản phẩm
event driven flows,Engineering Concepts & Methodologies,2,2,2,0,event-driven flow design|event-driven flows
goroutine,Engineering Concepts & Methodologies,2,1,2,0,goroutine
system programming,Engineering Concepts & Methodologies,2,2,1,1,Systems Programming|system programming
aso,Domain Knowledge,2,1,0,2,ASO
qlda,Engineering Concepts & Methodologies,2,1,1,1,QLDA
quản lý cntt,Soft Skill,2,2,2,0,quản lý nhóm CNTT|quản lý CNTT
phân tích báo cáo,Data Engineering & Analytics,2,2,2,0,phân tích và lập báo cáo|phân tích báo cáo
mô hình triển khai,Infrastructure & DevOps,2,2,1,1,mô hình triển khai|phát triển và tùy chỉnh mô hình AI
chứng chỉ devops,Other,2,2,0,2,chứng chỉ DevOps|chứng chỉ về DevOps
pm dự án,Soft Skill,2,1,2,0,PM dự án
asp net web form,Framework / Library,2,2,2,0,Asp.net Web Form|ASP.NET Web Forms
visual studio 2019,Tool & Platform,2,2,2,0,Visual studio 2019|Visual studio 2022
tự động hóa dây chuyền sản xuất,Domain Knowledge,2,2,1,1,hệ thống tự động hóa trong sản xuất|tự động hóa dây chuyền sản xuất
tài liệu đặc tả yêu cầu nghiệp vụ,Engineering Concepts & Methodologies,2,2,2,0,soạn thảo tài liệu yêu cầu nghiệp vụ|tài liệu đặc tả yêu cầu nghiệp vụ
erp project lifecycle,Domain Knowledge,2,2,2,0,ERP project lifecycle|ERP implementation lifecycle
pagerduty,Tool & Platform,2,2,2,0,PagerDuty|Pagination
gps,Infrastructure & DevOps,2,1,2,0,GPS
someip,Embedded & Firmware,2,1,1,1,SomeIP
chứng chỉ nghề,Other,2,2,1,1,chứng chỉ nghề nghiệp|chứng chỉ nghề
jcl,Other,2,1,2,0,JCL
bare metal,Infrastructure & DevOps,2,2,1,1,bare-metal|lập trình bare-metal
deduplication,AI/ML/Data,2,1,1,1,deduplication
msk,Data Engineering & Analytics,2,1,2,0,MSK
8d,Engineering Concepts & Methodologies,2,1,2,0,8D
esd,Other,2,1,1,1,ESD
real time streaming,Engineering Concepts & Methodologies,2,2,1,1,real-time streaming|real-time/streaming data
framework web,Framework / Library,2,2,2,0,framework web|framework lập trình web
xây dựng tài liệu đào tạo,Domain Knowledge,2,2,2,0,phát triển chương trình đào tạo|xây dựng tài liệu đào tạo
visual design,Design & UX,2,2,2,0,visual design|visual design principles
behave,Testing & QA,2,1,0,2,Behave
tối ưu inference,AI/ML/Data,2,2,1,1,tối ưu inference|tối ưu hóa model inference
adobe flash,Tool & Platform,2,2,2,0,Adobe Flash|FlashEEPROM
người dẫn dắt,Soft Skill,2,2,1,1,"người dẫn dắt|đào tạo, dẫn dắt"
oem,Infrastructure & DevOps,2,1,1,1,OEM
tối ưu asset,Engineering Concepts & Methodologies,2,2,2,0,tối ưu assets|tối ưu asset
tool test,Tool & Platform,2,2,1,1,tool test cáp|Tool Test
transceiver,IT Support & Hardware,2,1,2,0,transceiver
thiết kế in ấn,Design & UX,2,2,0,2,thiết kế ấn phẩm|thiết kế in ấn
troubleshooting raid,IT Support & Hardware,2,2,0,2,troubleshooting RAID|cấu hình RAID
abac,Other,2,1,2,0,ABAC
windows server 2019,Infrastructure & DevOps,2,2,2,0,Windows Server 2019|Windows Server 2022
ios architecture,AI/ML/Data,2,2,2,0,AI/ML architecture|iOS architecture
hệ thống tải lớn,Engineering Concepts & Methodologies,2,2,2,0,hệ thống tải lớn|hệ thống chịu tải cao
thread synchronization,Engineering Concepts & Methodologies,2,2,2,0,Thread synchronization|multi-threaded synchronization
ar,Domain Knowledge,2,1,2,0,AR
social,Domain Knowledge,2,1,2,0,Social
xsuaa,Infrastructure & DevOps,2,1,2,0,XSUAA
high load systems,Engineering Concepts & Methodologies,2,2,1,1,"high-load systems|hệ thống quy mô lớn, high-load"
backup strategies,Infrastructure & DevOps,2,2,2,0,Backup/Restore strategies|backup strategies
server & storage administration,Infrastructure & DevOps,2,2,2,0,Server & Storage administration|Server and Storage Administrator
aurora,Database,2,1,2,0,Aurora
fasttext,AI/ML/Data,2,1,2,0,FastText
bpmn 2 0,Other,2,1,2,0,BPMN 2.0
cameras,IT Support & Hardware,2,2,1,1,cameras|Cameras
quản trị hệ thống cntt doanh nghiệp,Domain Knowledge,2,2,1,1,cấu trúc hệ thống CNTT của doanh nghiệp|quản trị hệ thống CNTT doanh nghiệp
map,Framework / Library,2,2,2,0,Map|mAP
mô hình tối ưu,AI/ML/Data,2,2,2,0,tối ưu hóa mô hình|mô hình tối ưu
sas,Tool & Platform,2,1,2,0,SAS
retrieval,AI/ML/Data,2,2,2,0,retrieval system|retrieval
personalization,AI/ML/Data,2,2,1,1,cá nhân hóa|personalization
thiết bị an ninh,Embedded & Firmware,2,2,1,1,security trên thiết bị|thiết bị an ninh
grid,Programming Language,2,1,2,0,Grid
flexbox,Programming Language,2,1,2,0,Flexbox
numerai,Tool & Platform,2,1,0,2,Numerai
sqlmap,Testing & QA,2,2,2,0,sqlmap|SQLmap
xunit net,Infrastructure & DevOps,2,2,1,1,thi công mạng LAN|xUnit.NET
real time applications,Domain Knowledge,2,2,0,2,real-time applications|IoT real-time applications
giao tiếp và truyền thông,Soft Skill,2,2,2,0,giao tiếp và truyền thông|Truyền thông - Giải trí & Mạng xã hội
hướng dẫn và đào tạo,Soft Skill,2,2,2,0,hướng dẫn và đào tạo|hướng dẫn – đào tạo – thuyết trình
pim,Domain Knowledge,2,1,1,1,PIM
phương pháp triển khai dự án,Engineering Concepts & Methodologies,2,2,2,0,quy trình triển khai và nghiệm thu dự án|phương pháp triển khai dự án
estimation,Engineering Concepts & Methodologies,2,2,1,1,estimation|estimation techniques
delivery quality,Testing & QA,2,2,2,0,delivery quality|Delivery Excellence
progress tracking,Soft Skill,2,2,2,0,tracking progress|progress tracking
làm nhiều việc cùng lúc,Soft Skill,2,2,2,0,xử lý nhiều đầu việc cùng lúc|làm nhiều việc cùng lúc
tối ưu mô hình llm,AI/ML/Data,2,2,0,2,tối ưu mô hình LLM|Triển khai mô hình LLM
pcb soldering,Embedded & Firmware,2,1,0,2,PCB soldering
foundation model,AI/ML/Data,2,2,1,1,foundation models|foundation model
thiết kế màn chơi,Design & UX,2,2,1,1,thiết kế màn chơi cho thể loại giải đố (puzzle)|thiết kế màn chơi
in vehicle infotainment,Domain Knowledge,2,2,0,2,In-Vehicle Infotainment|in-vehicle information development
gpu environment,AI/ML/Data,2,2,2,0,GPU architectures|GPU environment
"thu thập, phân tích và làm rõ yêu cầu nghiệp vụ",Engineering Concepts & Methodologies,2,2,2,0,"thu thập, phân tích và làm rõ yêu cầu nghiệp vụ|thu thập, phân tích và quản lý yêu cầu nghiệp vụ"
jvm,Engineering Concepts & Methodologies,2,1,2,0,JVM
thuật toán thị giác máy,AI/ML/Data,2,2,2,0,lập trình hệ thống thị giác máy|thuật toán thị giác máy
report,Data Engineering & Analytics,2,2,2,0,Report|report
real time processing,Data Engineering & Analytics,2,2,2,0,real-time/near-real-time processing|real-time processing
thuật toán xử lý dữ liệu,AI/ML/Data,2,2,1,1,thuật toán khai phá dữ liệu|thuật toán xử lý dữ liệu
tấn công mạng,Infrastructure & DevOps,2,2,2,0,tấn công mạng|phương thức tấn công mạng
solana,Domain Knowledge,2,1,1,1,Solana
systems support,IT Support & Hardware,2,2,2,0,IT system support|systems support
camera ip,Tool & Platform,2,2,2,0,Camera IP|camera IP
audit,Testing & QA,2,1,2,0,audit
growth hacking,Domain Knowledge,2,2,0,2,growth hacking|growth hack features
delta,Data Engineering & Analytics,2,1,1,1,Delta
bapi,Tool & Platform,2,1,2,0,BAPI
ecommerce kpis,Data Engineering & Analytics,2,2,2,0,eCommerce analytics|eCommerce KPIs
pbx,Domain Knowledge,2,1,2,0,PBX
ml systems,AI/ML/Data,2,2,2,0,ML systems|ML/AI systems
software outsourcing,Domain Knowledge,2,2,1,1,dự án outsource phần mềm|software outsourcing
risk operations,Domain Knowledge,2,2,1,1,operational risk|risk operations
security risk assessments,Infrastructure & DevOps,2,2,2,0,đánh giá rủi ro bảo mật|security risk assessments
information risk,Domain Knowledge,2,2,2,0,quản trị rủi ro thông tin|Information Risk
test phần cứng,IT Support & Hardware,2,2,2,0,test phần cứng|kiểm thử phần cứng
regularization,AI/ML/Data,2,2,2,0,regularization techniques|Regularization
dax,Data Engineering & Analytics,2,1,2,0,DAX
key management,Engineering Concepts & Methodologies,2,2,1,1,key management|Key Management
semgrep,Tool & Platform,2,1,1,1,Semgrep
web proxy,Infrastructure & DevOps,2,2,2,0,client proxy|Web Proxy
mac operating system,Tool & Platform,2,2,2,0,Mac operating system|MAC operating systems
máy móc công nghiệp,Domain Knowledge,2,2,1,1,máy móc công nghiệp|thiết bị công nghiệp
thiết kế điện,Other,2,2,2,0,thiết kế điện|thiết kế tủ điện
application operation,Infrastructure & DevOps,2,2,2,0,Application Operations|Application Operation
dự án cntt – viễn thông,Domain Knowledge,2,2,1,1,dự án CNTT – Viễn thông|lắp đặt hạ tầng viễn thông-CNTT
human interface guidelines,Design & UX,2,2,2,0,Human Interface Guidelines|iOS Human Interface Guidelines
đấu tướng,Domain Knowledge,2,2,1,1,đấu tướng|trưởng nhóm IT
graph,AI/ML/Data,2,1,2,0,graph
crm software,Tool & Platform,2,2,0,2,phần mềm CRM|CRM software
technical team leadership,Soft Skill,2,2,2,0,lãnh đạo đội nhóm kỹ thuật|technical/team leadership
quản trị dữ liệu doanh nghiệp,Domain Knowledge,2,2,2,0,quản trị dữ liệu doanh nghiệp|quản lý thông tin doanh nghiệp
google adk,AI/ML/Data,2,1,1,1,Google ADK
ai llm api,AI/ML/Data,2,2,1,1,LLM/AI API|AI/LLM API
tín hiệu số,Engineering Concepts & Methodologies,2,2,1,1,xử lý tín hiệu số|tín hiệu số
mobile native,Other,2,2,2,0,Mobile native|native mobile
data caching,Engineering Concepts & Methodologies,2,2,1,1,caching dữ liệu|data caching
native apps,Testing & QA,2,2,1,1,Native apps|native apps
permissions,Tool & Platform,2,2,2,0,Permissions|Permission Sets
thiết kế và triển khai mạng,Infrastructure & DevOps,2,2,1,1,"thiết kế, triển khai mạng doanh nghiệp|thiết kế và triển khai mạng"
dự án offshore,Domain Knowledge,2,2,0,2,dự án Offshore với khách hàng Nhật|dự án offshore
malware,Domain Knowledge,2,2,2,0,Malware|malware
ai api,AI/ML/Data,2,1,2,0,AI API
thiết kế hệ thống mạng,Infrastructure & DevOps,2,2,2,0,"thiết kế hệ thống mạng|thiết kế, xây dựng hệ thống mạng"
ebpf,Tool & Platform,2,1,1,1,eBPF
cấu hình,Infrastructure & DevOps,2,2,1,1,xây dựng cấu hình|cấu hình
financial services domain,Domain Knowledge,2,2,0,2,Financial Services domain|Banking or Financial Services domain
salesforce cloud,Other,2,2,1,1,Salesforce Sales Cloud|Salesforce Cloud
progression curve,Domain Knowledge,2,2,2,0,progression curves|progression curve
game analytics,Tool & Platform,2,2,1,1,Game Analytics|game/app analytics
level editor,Tool & Platform,2,2,1,1,level editors|Level Editor
analysis services,Data Engineering & Analytics,2,2,2,0,dịch vụ phân tích|Analysis Services
secure system design,Engineering Concepts & Methodologies,2,2,2,0,secure design principles|secure system design
oidc,Other,2,1,1,1,OIDC
difficulty curve,Design & UX,2,2,2,0,difficulty curve|difficulty curves
network rules,Infrastructure & DevOps,2,2,2,0,Network rules|Network protocols
cuda,Programming Language,2,1,1,1,CUDA
mobile software testing,Testing & QA,2,2,2,0,mobile software testing|software testing on mobile platforms
access rights,Engineering Concepts & Methodologies,2,2,2,0,access rights|privileged access
microsoft dynamics 365 bc fo,Other,2,2,1,1,Chứng chỉ Microsoft Dynamics 365|Microsoft Dynamics 365 BC/FO
cơ cấu chấp hành,Domain Knowledge,2,2,2,0,cơ cấu chấp hành|cấu trúc giải thuật
thiết kế mạch,Embedded & Firmware,2,2,2,0,thiết kế mạch|thiết kế và đặt gia công mạch
dịch tài liệu,Soft Skill,2,2,2,0,dịch tài liệu|đọc dịch tài liệu
resource planning,Soft Skill,2,1,2,0,resource planning
công cụ hỗ trợ phân tích,Tool & Platform,2,2,1,1,công cụ hỗ trợ phân tích|công cụ hỗ trợ phân tích nghiệp vụ
công cụ ai quản lý tác vụ,Tool & Platform,2,2,2,0,công cụ hỗ trợ quản lý tác vụ BA|công cụ AI quản lý tác vụ
scalable architecture,Engineering Concepts & Methodologies,2,2,2,0,scalable architectures|scalable architecture
quản lý các bên liên quan,Soft Skill,2,2,2,0,quản lý nhiều bên liên quan|Quản lý các bên liên quan
contact center,Domain Knowledge,2,2,0,2,Contact Center|Contact Centers
làm việc với con người,Soft Skill,2,2,2,0,quản lý và làm việc với con người|làm việc với con người
user centric mindset,Soft Skill,2,2,2,0,User-Centric Mindset|User-Centric Thinking
system infrastructure,Infrastructure & DevOps,2,2,2,0,system infrastructure|hạ tầng hệ thống
avro,Other,2,2,1,1,AVRO|Avro
system observability,Infrastructure & DevOps,2,2,1,1,hệ thống observability|system observability
aiops,AI/ML/Data,2,1,2,0,AIOps
sam,AI/ML/Data,2,1,2,0,SAM
google platform,Tool & Platform,2,2,1,1,Google Services|Google Platform
enterprise hardware technologies,Domain Knowledge,2,2,1,1,hệ thống enterprise có tích hợp phần cứng/thiết bị|enterprise hardware technologies
quản lý năng lượng,Domain Knowledge,2,2,1,1,quản lý năng lượng|tối ưu hóa năng lượng
ưu tiên công việc,Soft Skill,2,2,2,0,Ưu tiên công việc|quản lý ưu tiên công việc
thiết bị tin học,IT Support & Hardware,2,2,2,0,thiết bị trình chiếu|thiết bị tin học
sql injection,Engineering Concepts & Methodologies,2,1,2,0,SQL Injection
payment banking,Domain Knowledge,2,2,0,2,tích hợp ngân hàng / thanh toán|payment banking
phân tích xu hướng sản phẩm,Design & UX,2,2,2,0,phân tích yêu cầu về sản phẩm|phân tích xu hướng sản phẩm
tech startup,Domain Knowledge,2,2,0,2,Tech Startup|startup công nghệ
team facilitation,Tool & Platform,2,2,2,0,Teams-based conferencing|team facilitation
chu kỳ phát triển sản phẩm,Engineering Concepts & Methodologies,2,2,2,0,chu kỳ phát triển sản phẩm|quy trình phát triển và vòng đời sản phẩm
viết tài liệu vận hành,Engineering Concepts & Methodologies,2,2,2,0,"viết, trình bày document|viết tài liệu vận hành"
major incident,IT Support & Hardware,2,2,1,1,major incidents|major incident
tài chính doanh nghiệp,Domain Knowledge,2,2,1,1,nghiệp vụ tài chính bán hàng|tài chính doanh nghiệp
